Model,Version,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,Baseline,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.844532279314888
Decision Tree,Baseline,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623
Random Forest,Baseline,0.8212290502793296,0.8135593220338984,0.6956521739130435,0.75,0.8272068511198946
Logistic Regression,Balanced,0.8044692737430168,0.7297297297297297,0.782608695652174,0.7552447552447552,0.8474308300395257
Decision Tree,Balanced,0.776536312849162,0.7377049180327869,0.6521739130434783,0.6923076923076923,0.8139657444005272
Random Forest,Balanced,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8337285902503293
Logistic Regression,SMOTE,0.8100558659217877,0.7397260273972602,0.782608695652174,0.7605633802816901,0.841897233201581
Decision Tree,SMOTE,0.7877094972067039,0.6962025316455697,0.7971014492753623,0.7432432432432432,0.8291172595520422
Random Forest,SMOTE,0.8156424581005587,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.8287220026350463
