Model Type,Model,Accuracy,Precision,Recall,F1,AUC,MAE,RMSE,R2,Adjusted_R2
Classification,Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.844532279314888,,,,
Classification,Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623,,,,
Classification,Random Forest,0.8212290502793296,0.8135593220338984,0.6956521739130435,0.75,0.8299736495388669,,,,
Classification - Tuned,Tuned Random Forest,0.8212290502793296,0.8245614035087719,0.6811594202898551,0.746031746031746,0.8424242424242424,,,,
Regression,Multivariate Linear Regression,,,,,,20.897717925140867,30.532802561398345,0.39754802380221577,0.36168778712377625
