mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3996694564819336,0.018314332159379672,0.0659937858581543,0.00870544996723316,,sqrt,100,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 100}",0.7222222222222222,0.6095238095238096,0.7818181818181819,0.7962962962962963,0.7454545454545455,0.7310630110630111,0.06616422323426832,13
0.7181490421295166,0.05570591417175361,0.09889073371887207,0.017362876584227235,,sqrt,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.7155963302752294,0.5981308411214953,0.7610619469026548,0.7850467289719626,0.7636363636363637,0.7246944421815412,0.0672050413594297,17
1.0714919567108154,0.09336000906931363,0.10995941162109375,0.006242216257617023,,sqrt,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 300}",0.7222222222222222,0.5981308411214953,0.7747747747747747,0.7777777777777778,0.7592592592592593,0.7264329750311058,0.06712667325699423,15
0.3812455177307129,0.020224056715718027,0.0725644588470459,0.0017092160098270755,,log2,100,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.7222222222222222,0.6095238095238096,0.7818181818181819,0.7962962962962963,0.7454545454545455,0.7310630110630111,0.06616422323426832,13
0.6766209125518798,0.03330441535984485,0.09416589736938477,0.014186440620105,,log2,200,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.7155963302752294,0.5981308411214953,0.7610619469026548,0.7850467289719626,0.7636363636363637,0.7246944421815412,0.0672050413594297,17
0.9990915775299072,0.035885988532789286,0.1055272102355957,0.008377641984010574,,log2,300,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__n_estimators': 300}",0.7222222222222222,0.5981308411214953,0.7747747747747747,0.7777777777777778,0.7592592592592593,0.7264329750311058,0.06712667325699423,15
0.3720839500427246,0.028222276963110283,0.058915328979492185,0.007338633631591118,5,sqrt,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 100}",0.74,0.6451612903225806,0.803921568627451,0.7766990291262136,0.76,0.7451563776152492,0.054211115792470524,3
0.6154929161071777,0.02959928659570797,0.08178586959838867,0.0035420113446143816,5,sqrt,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.74,0.6451612903225806,0.7961165048543689,0.7843137254901961,0.76,0.745118304133429,0.05362119739647244,5
0.9879913330078125,0.03526285136227581,0.10212244987487792,0.00741020191218637,5,sqrt,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 300}",0.7326732673267327,0.6451612903225806,0.7884615384615384,0.7961165048543689,0.74,0.7404825201930441,0.05393418315574913,7
0.3572197437286377,0.030276112019897515,0.058266496658325194,0.00800213701503354,5,log2,100,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.74,0.6451612903225806,0.803921568627451,0.7766990291262136,0.76,0.7451563776152492,0.054211115792470524,3
0.6362254619598389,0.030711759186929595,0.08367924690246582,0.009705503836296986,5,log2,200,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.74,0.6451612903225806,0.7961165048543689,0.7843137254901961,0.76,0.745118304133429,0.05362119739647244,5
0.9801744937896728,0.04134783785353731,0.11194944381713867,0.005949213641920965,5,log2,300,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 300}",0.7326732673267327,0.6451612903225806,0.7884615384615384,0.7961165048543689,0.74,0.7404825201930441,0.05393418315574913,7
0.3733389854431152,0.05122923458926447,0.0559145450592041,0.0027425620492318027,10,sqrt,100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 100}",0.7378640776699029,0.6213592233009708,0.8037383177570093,0.803921568627451,0.7592592592592593,0.7452284893229187,0.06702681509732134,1
0.6176340103149414,0.012402865956873404,0.08074002265930176,0.006654859420743857,10,sqrt,200,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.7307692307692307,0.62,0.7924528301886793,0.7924528301886793,0.7547169811320755,0.7380783744557329,0.06353885771742601,11
1.0499441623687744,0.06519746412834465,0.11146273612976074,0.008796556950234681,10,sqrt,300,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 300}",0.7378640776699029,0.62,0.8037383177570093,0.7924528301886793,0.7428571428571429,0.7393824736945469,0.06515319068336196,9
0.36467838287353516,0.04563899503222282,0.06135282516479492,0.009032139178082118,10,log2,100,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.7378640776699029,0.6213592233009708,0.8037383177570093,0.803921568627451,0.7592592592592593,0.7452284893229187,0.06702681509732134,1
0.6572192192077637,0.02289936661829619,0.08239102363586426,0.004900609058368697,10,log2,200,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.7307692307692307,0.62,0.7924528301886793,0.7924528301886793,0.7547169811320755,0.7380783744557329,0.06353885771742601,11
0.868281078338623,0.09030934987311276,0.06830716133117676,0.010242041814736983,10,log2,300,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__n_estimators': 300}",0.7378640776699029,0.62,0.8037383177570093,0.7924528301886793,0.7428571428571429,0.7393824736945469,0.06515319068336196,9
